,매장명,주소,전화번호,위도,경도
0,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),1522-3232,37.501087,127.043069
1,논현역사거리,서울특별시 강남구 강남대로 538 (논현동),1522-3232,37.510178,127.022223
2,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),1522-3232,37.514132,127.020563
3,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),1522-3232,37.499517,127.031495
4,스탈릿대치R,서울특별시 강남구 남부순환로 2947 (대치동),1522-3232,37.494668,127.062583
5,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),1522-3232,37.515000,127.063196
6,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),1522-3232,37.5227934,127.0286009
7,코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),1522-3232,37.510150,127.060275
8,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),1522-3232,37.507750,127.060651
9,압구정R,서울특별시 강남구 언주로 861 (신사동),1522-3232,37.5273669,127.033061
10,수서역R,서울특별시 강남구 광평로 281 (수서동),1522-3232,37.488008,127.102650
11,양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),1522-3232,37.485192,127.036685
12,선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),1522-3232,37.505321,127.050409
13,봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),1522-3232,37.511293,127.048409
14,강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),1522-3232,37.502117,127.026672
15,스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,1522-3232,37.50999,127.061455
16,강남구청정문,서울특별시 강남구 학동로 419 (청담동),1522-3232,37.518181,127.045995
17,도곡공원,서울특별시 강남구 도곡로 205 (역삼동),1522-3232,37.492805,127.041309
18,강남R,서울특별시 강남구 강남대로 390 (역삼동),1522-3232,37.497711,127.028439
19,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),1522-3232,37.498973,127.060172
20,청담영동대로,서울특별시 강남구 영동대로 720 (청담동),1522-3232,37.522156,127.056449
21,압구정,서울특별시 강남구 압구정로30길 17 (신사동),1522-3232,37.526283,127.029560
22,신사가로수,서울특별시 강남구 가로수길 59 ,1522-3232,37.521933,127.022521
23,청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),1522-3232,37.525216,127.041827
24,강남우성,서울특별시 강남구 강남대로 328 (역삼동),1522-3232,37.492396,127.030910
25,학동사거리,서울특별시 강남구 도산대로 328 (논현동),1522-3232,37.52236449999999,127.03795430000002
26,대치사거리,서울특별시 강남구 삼성로 402 (대치동),1522-3232,37.503331,127.058817
27,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,1522-3232,37.5075307,127.05742710000004
28,을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",1522-3232,37.5191632,127.0286446
29,신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,1522-3232,37.5162021,127.0207428
30,도곡역,서울특별시 강남구 남부순환로 2909 (대치동),1522-3232,37.492167,127.057398
31,서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,1522-3232,37.514887,127.035653
32,청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,1522-3232,37.5236351,127.04686509999999
33,한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",1522-3232,37.496801,127.055055
34,역삼초교사거리,서울특별시 강남구 역삼로 123 (역삼동),1522-3232,37.4941059,127.03299730000003
35,코엑스몰,서울특별시 강남구 영동대로 513 (삼성동) O103호,1522-3232,37.513715,127.059245
36,가로수길,"서울특별시 강남구 논현로175길 94, 1~2층 (신사동)",1522-3232,37.5231593,127.02162499999997
37,역삼대로,"서울특별시 강남구 테헤란로 211, 한국고등교육재단빌딩 1층 (역삼동)",1522-3232,37.501623,127.039375
38,역삼포스코,"서울특별시 강남구 테헤란로 134, P&amp;S TOWER (역삼동)",1522-3232,37.499721,127.033582
39,강남대로,"서울특별시 강남구 강남대로 456, 한석타워 2층 1-2호 (역삼동)",1522-3232,37.50314,127.025546
