,매장명,구,주소,위도,경도
107,마곡나루역점,강서구,"서울 강서구 마곡중앙5로 6 (마곡동, 마곡나루역보타닉푸르지오시티)",37.5673603,126.8275954
108,마곡대방디엠씨티점,강서구,"서울 강서구 양천로 344 (마곡동, 마곡센트럴대방디엠시티오피스텔)",37.5686067,126.8395831
109,마곡수명산점,강서구,"서울 강서구 수명로 68-27 (내발산동, 웨스트엔드문화센터)",37.5526355,126.826665
110,마곡엠밸리점,강서구,"서울 강서구 마곡서로 101 (마곡동, 동익드미라벨복합빌딩)",37.5619185,126.826919
111,마곡역점,강서구,"서울 강서구 공항대로 195 (마곡동, 힐스테이트에코동익)",37.5599737,126.8291801
112,마곡중앙점,강서구,"서울 강서구 마곡중앙6로 66 (마곡동, 퀸즈파크텐)",37.5602518,126.8332592
113,마곡퀸즈파크9점,강서구,"서울 강서구 공항대로 247 (마곡동, 퀸즈파크나인)",37.5594439,126.8342748
114,마곡파인스퀘어점,강서구,"서울 강서구 마곡중앙4로 22 (마곡동, 파인스퀘어)",37.558339,126.829802
115,마곡헤리움점,강서구,"서울 강서구 마곡중앙5로1길 25 (마곡동, 마곡헤리움2차)",37.569266,126.826403
116,발산역점,강서구,서울 강서구 공항대로 280 (내발산동),37.54828639999999,126.8194521
117,방화동로점,강서구,서울 강서구 방화동로 95 (방화동),37.5690525,126.8126438
118,방화사거리점,강서구,"서울 강서구 양천로 72 (방화동, 해성빌딩)",37.5526732,126.8524544
119,방화역점,강서구,"서울 강서구 금낭화로 146 (방화동, 오피앙)",37.5781558,126.8132929
120,서울공진초교점,강서구,"서울 강서구 마곡중앙1로 26 (마곡동, 마곡엠리체)",37.5619185,126.826919
121,송정역점,강서구,서울 강서구 공항대로 24 (공항동),37.5619449,126.8126966
122,신방화역점,강서구,"서울 강서구 마곡중앙5로 81 (마곡동, 에스비타운)",37.55319679999999,126.8298352
123,신방화중앙점,강서구,"서울 강서구 방화대로34길 92 (방화동, 불해빌딩)",37.5708766,126.8213439
124,양천향교역점,강서구,서울 강서구 강서로 462 (등촌동),37.5665739,126.8413981
125,염창동점,강서구,서울 강서구 양천로 689 (염창동),37.5540319,126.8717993
126,염창블루나인점,강서구,서울 강서구 양천로 583 (염창동),37.556904,126.8642901
127,우장산동점,강서구,서울 강서구 우현로 15 (화곡동),37.547128,126.8436128
128,우장산역점,강서구,서울 강서구 강서로45길 5 (화곡동),37.5478163,126.8358119
129,증미한화점,강서구,"서울 강서구 양천로 551-17 (가양동, 한화비즈메트로1차)",37.55869200000001,126.8621098
130,화곡남부시장점,강서구,서울 강서구 등촌로5길 80 (화곡동),37.5330576,126.8589924
